Date,Type,Count
2020-05-18,Deaths,9
2020-05-18,Active,413
2020-05-19,Confirmed,992
2020-05-19,Recovered,569
2020-05-19,Deaths,9
2020-05-19,Active,414
2020-05-20,Confirmed,1027
2020-05-20,Recovered,584
2020-05-20,Deaths,9
2020-05-20,Active,434
2020-05-21,Confirmed,1028
2020-05-21,Recovered,604
2020-05-21,Deaths,9
2020-05-21,Active,415
2020-05-22,Confirmed,1055
2020-05-22,Recovered,620
2020-05-22,Deaths,9
2020-05-22,Active,426
2020-05-23,Confirmed,1068
2020-05-23,Recovered,660
2020-05-23,Deaths,9
2020-05-23,Active,399
2020-05-24,Confirmed,1089
2020-05-24,Recovered,674
2020-05-24,Deaths,9
2020-05-24,Active,406
2020-05-25,Confirmed,1141
2020-05-25,Recovered,695
2020-05-25,Deaths,9
2020-05-25,Active,437
2020-05-26,Confirmed,1182
2020-05-26,Recovered,712
2020-05-26,Deaths,10
2020-05-26,Active,76
2020-05-27,Confirmed,1319
2020-05-27,Recovered,732
2020-05-27,Deaths,10
2020-05-27,Active,577
2020-05-28,Confirmed,1469
2020-05-28,Recovered,745
2020-05-28,Deaths,10
2020-05-28,Active,714
2020-05-29,Confirmed,1530
2020-05-29,Recovered,754
2020-05-29,Deaths,10
2020-05-29,Active,766
2020-05-30,Confirmed,1558
2020-05-30,Recovered,781
2020-05-30,Deaths,10
2020-05-30,Active,767
2020-05-31,Confirmed,1620
2020-05-31,Recovered,801
2020-05-31,Deaths,10
2020-05-31,Active,809
2020-06-01,Confirmed,1633
2020-06-01,Recovered,811
2020-06-01,Deaths,11
2020-06-01,Active,811
2020-06-02,Confirmed,1643
2020-06-02,Recovered,823
2020-06-02,Deaths,11
2020-06-02,Active,809
2020-06-03,Confirmed,1683
2020-06-03,Recovered,836
2020-06-03,Deaths,11
2020-06-03,Active,836
2020-06-04,Confirmed,1749
2020-06-04,Recovered,839
2020-06-04,Deaths,11
2020-06-04,Active,899
2020-06-05,Confirmed,1797
2020-06-05,Recovered,858
2020-06-05,Deaths,11
2020-06-05,Active,928
2020-06-06,Confirmed,1801
2020-06-06,Recovered,891
2020-06-06,Deaths,11
2020-06-06,Active,899
2020-06-07,Confirmed,1814
2020-06-07,Recovered,941
2020-06-07,Deaths,11
2020-06-07,Active,862
2020-06-08,Confirmed,1835
2020-06-08,Recovered,990
2020-06-08,Deaths,11
2020-06-08,Active,834
2020-06-09,Confirmed,1857
2020-06-09,Recovered,1057
2020-06-09,Deaths,11
2020-06-09,Active,789
2020-06-10,Confirmed,1859
2020-06-10,Recovered,1122
2020-06-10,Deaths,11
2020-06-10,Active,726
2020-06-11,Confirmed,1869
2020-06-11,Recovered,1150
2020-06-11,Deaths,11
2020-06-11,Active,708
2020-06-12,Confirmed,1877
2020-06-12,Recovered,1196
2020-06-12,Deaths,11
2020-06-12,Active,670
2020-06-13,Confirmed,1880
2020-06-13,Recovered,1252
2020-06-13,Deaths,11
2020-06-13,Active,617
2020-06-14,Confirmed,1884
2020-06-14,Recovered,1287
2020-06-14,Deaths,11
2020-06-14,Active,586
2020-06-15,Confirmed,1889
2020-06-15,Recovered,1342
2020-06-15,Deaths,11
2020-06-15,Active,536
2020-06-16,Confirmed,1905
2020-06-16,Recovered,1371
2020-06-16,Deaths,11
2020-06-16,Active,523
2020-06-18,Confirmed,1924
2020-06-18,Recovered,1421
2020-06-18,Deaths,11
2020-06-18,Active,492
2020-06-19,Confirmed,1947
2020-06-19,Recovered,1446
2020-06-19,Deaths,11
2020-06-19,Active,490
2020-06-20,Confirmed,1950
2020-06-20,Recovered,1472
2020-06-20,Deaths,11
2020-06-20,Active,467
2020-06-21,Confirmed,1950
2020-06-21,Recovered,1498
2020-06-21,Deaths,11
2020-06-21,Active,441
2020-06-22,Confirmed,1950
2020-06-22,Recovered,1526
2020-06-22,Deaths,11
2020-06-22,Active,413
2020-06-23,Confirmed,1951
2020-06-23,Recovered,1548
2020-06-23,Deaths,11
2020-06-23,Active,392
2020-06-24,Confirmed,1991
2020-06-24,Recovered,1562
2020-06-24,Deaths,11
2020-06-24,Active,418
2020-06-25,Confirmed,2001
2020-06-25,Recovered,1602
2020-06-25,Deaths,11
2020-06-25,Active,388
2020-06-26,Confirmed,2010
2020-06-26,Recovered,1619
2020-06-26,Deaths,11
2020-06-26,Active,380
2020-06-27,Confirmed,2014
2020-06-27,Recovered,1639
2020-06-27,Deaths,11
2020-06-27,Active,364
2020-06-28,Confirmed,2033
2020-06-28,Recovered,1661
2020-06-28,Deaths,11
2020-06-28,Active,361
2020-06-29,Confirmed,2037
2020-06-29,Recovered,1678
2020-06-29,Deaths,11
2020-06-29,Active,348
2020-06-30,Confirmed,2042
2020-06-30,Recovered,1711
2020-06-30,Deaths,11
2020-06-30,Active,320
2020-07-01,Confirmed,2047
2020-07-01,Recovered,1748
2020-07-01,Deaths,11
2020-07-01,Active,288
2020-07-02,Confirmed,2054
2020-07-02,Recovered,1827
2020-07-02,Deaths,11
2020-07-02,Active,216
2020-07-03,Confirmed,2066
2020-07-03,Recovered,1863
2020-07-03,Deaths,11
2020-07-03,Active,192
2020-07-04,Confirmed,2069
2020-07-04,Recovered,1885
2020-07-04,Deaths,11
2020-07-04,Active,173
2020-07-05,Confirmed,2074
2020-07-05,Recovered,1903
2020-07-05,Deaths,11
2020-07-05,Active,160
2020-07-06,Confirmed,2076
2020-07-06,Recovered,1917
2020-07-06,Deaths,11
2020-07-06,Active,148
2020-07-07,Confirmed,2077
2020-07-07,Recovered,1955
2020-07-07,Deaths,9
2020-07-07,Active,111
2020-07-08,Confirmed,2081
2020-07-08,Recovered,1967
2020-07-08,Deaths,11
2020-07-08,Active,103
2020-07-09,Confirmed,2094
2020-07-09,Recovered,1979
2020-07-09,Deaths,11
2020-07-09,Active,104
2020-07-10,Confirmed,2350
2020-07-10,Recovered,1980
2020-07-10,Deaths,11
2020-07-10,Active,359
2020-07-11,Confirmed,2454
2020-07-11,Recovered,1980
2020-07-11,Deaths,11
2020-07-11,Active,463
2020-07-12,Confirmed,2511
2020-07-12,Recovered,1981
2020-07-12,Deaths,11
2020-07-12,Active,519
