Date,District,Count
2021-08-07,Hambantota,4073
2021-08-07,Trincomalee,3356
2021-08-07,Monaragala,3772
2021-08-07,Polonnaruwa,2913
2021-08-07,Ampara,2153
2021-08-07,Kalmunai,2951
2021-08-07,Batticaloa,3324
2021-08-07,Vavuniya,1802
2021-08-07,Mullaitivu,1139
2021-08-07,Kilinochchi,1558
2021-08-07,Mannar,1454
2021-08-08,Colombo,76324
2021-08-08,Gampaha,59245
2021-08-08,Kalutara,35608
2021-08-08,Kandy,15208
2021-08-08,Kurunagala,16046
2021-08-08,Galle,15679
2021-08-08,Ratnapura,12604
2021-08-08,Matara,8173
2021-08-08,Matale,6067
2021-08-08,Nuwara Eliya,8224
2021-08-08,Kegalle,6992
2021-08-08,Jaffna,6612
2021-08-08,Badulla,7721
2021-08-08,Puttalam,5976
2021-08-08,Anuradhapura,4362
2021-08-08,Hambantota,4161
2021-08-08,Trincomalee,3361
2021-08-08,Monaragala,3788
2021-08-08,Polonnaruwa,2915
2021-08-08,Ampara,2175
2021-08-08,Kalmunai,2984
2021-08-08,Batticaloa,3329
2021-08-08,Vavuniya,1815
2021-08-08,Mullaitivu,1140
2021-08-08,Kilinochchi,1565
2021-08-08,Mannar,1459
2021-08-09,Colombo,77231
2021-08-09,Gampaha,59794
2021-08-09,Kalutara,35863
2021-08-09,Kandy,15247
2021-08-09,Kurunagala,16158
2021-08-09,Galle,15834
2021-08-09,Ratnapura,12711
2021-08-09,Matara,8188
2021-08-09,Matale,6160
2021-08-09,Nuwara Eliya,8371
2021-08-09,Kegalle,6994
2021-08-09,Jaffna,6650
2021-08-09,Badulla,7779
2021-08-09,Puttalam,6036
2021-08-09,Anuradhapura,4363
2021-08-09,Hambantota,4253
2021-08-09,Trincomalee,3362
2021-08-09,Monaragala,3793
2021-08-09,Polonnaruwa,2928
2021-08-09,Ampara,2180
2021-08-09,Kalmunai,3009
2021-08-09,Batticaloa,3367
2021-08-09,Vavuniya,1818
2021-08-09,Mullaitivu,1148
2021-08-09,Kilinochchi,1570
2021-08-09,Mannar,1465
2021-08-10,Colombo,77742
2021-08-10,Gampaha,60412
2021-08-10,Kalutara,36390
2021-08-10,Kandy,15374
2021-08-10,Kurunagala,16189
2021-08-10,Galle,15919
2021-08-10,Ratnapura,12737
2021-08-10,Matara,8256
2021-08-10,Matale,6169
2021-08-10,Nuwara Eliya,8475
2021-08-10,Kegalle,7055
2021-08-10,Jaffna,6704
2021-08-10,Badulla,7825
2021-08-10,Puttalam,6124
2021-08-10,Anuradhapura,4395
2021-08-10,Hambantota,4383
2021-08-10,Trincomalee,3382
2021-08-10,Monaragala,3814
2021-08-10,Polonnaruwa,3038
2021-08-10,Ampara,2190
2021-08-10,Kalmunai,3029
2021-08-10,Batticaloa,3394
2021-08-10,Vavuniya,1856
2021-08-10,Mullaitivu,1151
2021-08-10,Kilinochchi,1573
2021-08-10,Mannar,1479
2021-08-11,Colombo,78337
2021-08-11,Gampaha,60795
2021-08-11,Kalutara,36641
2021-08-11,Kandy,15442
2021-08-11,Kurunagala,16356
2021-08-11,Galle,16125
2021-08-11,Ratnapura,12765
2021-08-11,Matara,8284
2021-08-11,Matale,6206
2021-08-11,Nuwara Eliya,8561
2021-08-11,Kegalle,7070
2021-08-11,Jaffna,6718
2021-08-11,Badulla,7845
2021-08-11,Puttalam,6261
2021-08-11,Anuradhapura,4463
2021-08-11,Hambantota,4576
2021-08-11,Trincomalee,3383
2021-08-11,Monaragala,3917
2021-08-11,Polonnaruwa,3077
2021-08-11,Ampara,2199
2021-08-11,Kalmunai,3070
2021-08-11,Batticaloa,3452
2021-08-11,Vavuniya,1894
2021-08-11,Mullaitivu,1151
2021-08-11,Kilinochchi,1573
2021-08-11,Mannar,1483
2021-08-12,Colombo,79176
2021-08-12,Gampaha,61202
2021-08-12,Kalutara,36862
2021-08-12,Kandy,15500
2021-08-12,Kurunagala,16577
2021-08-12,Galle,16355
2021-08-12,Ratnapura,12797
2021-08-12,Matara,8334
2021-08-12,Matale,6215
2021-08-12,Nuwara Eliya,8605
2021-08-12,Kegalle,7093
2021-08-12,Jaffna,6839
2021-08-12,Badulla,7868
2021-08-12,Puttalam,6361
2021-08-12,Anuradhapura,4471
2021-08-12,Hambantota,4787
2021-08-12,Trincomalee,3387
2021-08-12,Monaragala,3964
2021-08-12,Polonnaruwa,3104
2021-08-12,Ampara,2209
2021-08-12,Kalmunai,3082
2021-08-12,Batticaloa,3499
2021-08-12,Vavuniya,1907
2021-08-12,Mullaitivu,1163
2021-08-12,Kilinochchi,1578
2021-08-12,Mannar,1488
2021-08-13,Colombo,79879
2021-08-13,Gampaha,61733
2021-08-13,Kalutara,37331
2021-08-13,Kandy,15550
2021-08-13,Kurunagala,16790
2021-08-13,Galle,16457
2021-08-13,Ratnapura,12883
2021-08-13,Matara,8386
2021-08-13,Matale,6241
2021-08-13,Nuwara Eliya,8610
2021-08-13,Kegalle,7095
2021-08-13,Jaffna,6915
2021-08-13,Badulla,7954
2021-08-13,Puttalam,6501
2021-08-13,Anuradhapura,4525
2021-08-13,Hambantota,4828
2021-08-13,Trincomalee,3408
2021-08-13,Monaragala,4022
2021-08-13,Polonnaruwa,3110
2021-08-13,Ampara,2233
2021-08-13,Kalmunai,3103
2021-08-13,Batticaloa,3505
2021-08-13,Vavuniya,1924
2021-08-13,Mullaitivu,1169
2021-08-13,Kilinochchi,1607
2021-08-13,Mannar,1498
2021-08-14,Colombo,80807
2021-08-14,Gampaha,62593
2021-08-14,Kalutara,37698
2021-08-14,Kandy,15635
2021-08-14,Kurunagala,16955
2021-08-14,Galle,16526
2021-08-14,Ratnapura,12900
2021-08-14,Matara,8457
2021-08-14,Matale,6285
2021-08-14,Nuwara Eliya,8614
2021-08-14,Kegalle,7103
2021-08-14,Jaffna,7010
2021-08-14,Badulla,8000
2021-08-14,Puttalam,6520
2021-08-14,Anuradhapura,4526
2021-08-14,Hambantota,4837
2021-08-14,Trincomalee,3409
2021-08-14,Monaragala,4097
2021-08-14,Polonnaruwa,3113
2021-08-14,Ampara,2238
2021-08-14,Kalmunai,3123
2021-08-14,Batticaloa,3513
2021-08-14,Vavuniya,1977
2021-08-14,Mullaitivu,1175
2021-08-14,Kilinochchi,1617
2021-08-14,Mannar,1511
2021-08-15,Colombo,81743
2021-08-15,Gampaha,64246
2021-08-15,Kalutara,38436
2021-08-15,Kandy,15667
2021-08-15,Kurunagala,17062
2021-08-15,Galle,17405
2021-08-15,Ratnapura,13039
2021-08-15,Matara,8570
2021-08-15,Matale,6412
2021-08-15,Nuwara Eliya,8646
2021-08-15,Kegalle,7145
2021-08-15,Jaffna,7069
2021-08-15,Badulla,8033
2021-08-15,Puttalam,6701
2021-08-15,Anuradhapura,4617
2021-08-15,Hambantota,5122
2021-08-15,Trincomalee,3412
2021-08-15,Monaragala,4216
2021-08-15,Polonnaruwa,3194
2021-08-15,Ampara,2718
2021-08-15,Kalmunai,3128
2021-08-15,Batticaloa,3551
2021-08-15,Vavuniya,2001
2021-08-15,Mullaitivu,1178
2021-08-15,Kilinochchi,1744
2021-08-15,Mannar,1547
2021-08-16,Colombo,82644
2021-08-16,Gampaha,65228
2021-08-16,Kalutara,38607
2021-08-16,Kandy,15731
2021-08-16,Kurunagala,17253
2021-08-16,Galle,17540
2021-08-16,Ratnapura,13053
2021-08-16,Matara,8631
2021-08-16,Matale,6437
2021-08-16,Nuwara Eliya,8837
2021-08-16,Kegalle,7158
2021-08-16,Jaffna,7133
2021-08-16,Badulla,8043
2021-08-16,Puttalam,6793
2021-08-16,Anuradhapura,4618
2021-08-16,Hambantota,5265
2021-08-16,Trincomalee,3414
2021-08-16,Monaragala,4263
2021-08-16,Polonnaruwa,3241
2021-08-16,Ampara,2721
2021-08-16,Kalmunai,3154
2021-08-16,Batticaloa,3563
2021-08-16,Vavuniya,2024
2021-08-16,Mullaitivu,1182
2021-08-16,Kilinochchi,1744
2021-08-16,Mannar,1553
2021-08-17,Colombo,83049
2021-08-17,Gampaha,66459
2021-08-17,Kalutara,39042
2021-08-17,Kandy,15776
2021-08-17,Kurunagala,17371
2021-08-17,Galle,17712
2021-08-17,Ratnapura,13070
2021-08-17,Matara,8756
2021-08-17,Matale,6447
2021-08-17,Nuwara Eliya,8837
2021-08-17,Kegalle,7198
2021-08-17,Jaffna,7233
2021-08-17,Badulla,8200
2021-08-17,Puttalam,6827
2021-08-17,Anuradhapura,4772
2021-08-17,Hambantota,5325
2021-08-17,Trincomalee,3441
2021-08-17,Monaragala,4297
2021-08-17,Polonnaruwa,3292
2021-08-17,Ampara,2721
2021-08-17,Kalmunai,3161
2021-08-17,Batticaloa,3575
2021-08-17,Vavuniya,2032
2021-08-17,Mullaitivu,1199
2021-08-17,Kilinochchi,1896
2021-08-17,Mannar,1565
2021-08-18,Colombo,84332
2021-08-18,Gampaha,67295
2021-08-18,Kalutara,39271
2021-08-18,Kandy,16006
2021-08-18,Kurunagala,17729
2021-08-18,Galle,18671
2021-08-18,Ratnapura,13114
2021-08-18,Matara,8908
2021-08-18,Matale,6720
2021-08-18,Nuwara Eliya,8949
2021-08-18,Kegalle,7222
2021-08-18,Jaffna,7315
2021-08-18,Badulla,8313
2021-08-18,Puttalam,7053
2021-08-18,Anuradhapura,4820
2021-08-18,Hambantota,5742
2021-08-18,Trincomalee,3446
2021-08-18,Monaragala,4365
2021-08-18,Polonnaruwa,3326
2021-08-18,Ampara,3866
2021-08-18,Kalmunai,3232
2021-08-18,Batticaloa,3647
2021-08-18,Vavuniya,2073
2021-08-18,Mullaitivu,1203
2021-08-18,Kilinochchi,2112
2021-08-18,Mannar,1567
2021-08-19,Colombo,85309
2021-08-19,Gampaha,67706
2021-08-19,Kalutara,39518
2021-08-19,Kandy,16074
2021-08-19,Kurunagala,17933
2021-08-19,Galle,18772
2021-08-19,Ratnapura,13161
2021-08-19,Matara,8942
2021-08-19,Matale,6830
2021-08-19,Nuwara Eliya,9074
2021-08-19,Kegalle,7278
2021-08-19,Jaffna,7456
2021-08-19,Badulla,8423
2021-08-19,Puttalam,7143
2021-08-19,Anuradhapura,5158
2021-08-19,Hambantota,5828
2021-08-19,Trincomalee,3468
2021-08-19,Monaragala,4499
2021-08-19,Polonnaruwa,3390
2021-08-19,Ampara,3877
2021-08-19,Kalmunai,3240
2021-08-19,Batticaloa,3745
2021-08-19,Vavuniya,2130
2021-08-19,Mullaitivu,1205
2021-08-19,Kilinochchi,2115
2021-08-19,Mannar,1569
2021-08-20,Colombo,86972
2021-08-20,Gampaha,69469
2021-08-20,Kalutara,40109
2021-08-20,Kandy,16201
2021-08-20,Kurunagala,18064
2021-08-20,Galle,20219
2021-08-20,Ratnapura,13211
2021-08-20,Matara,9058
2021-08-20,Matale,7659
2021-08-20,Nuwara Eliya,9160
2021-08-20,Kegalle,7324
2021-08-20,Jaffna,7562
2021-08-20,Badulla,8738
2021-08-20,Puttalam,7278
2021-08-20,Anuradhapura,5198
2021-08-20,Hambantota,6204
2021-08-20,Trincomalee,3468
2021-08-20,Monaragala,4635
2021-08-20,Polonnaruwa,3394
2021-08-20,Ampara,4002
2021-08-20,Kalmunai,3391
2021-08-20,Batticaloa,3753
2021-08-20,Vavuniya,2160
